,LATITUD,LONGITUD,antenna_id
0,23.6092,-51.071799999999996,083F2711
1,31.6092,-55.071799999999996,083F2712
2,10.609200000000001,-54.071799999999996,083F2713
3,13.609200000000001,-53.071799999999996,083F2714
4,25.6092,-45.071799999999996,083F2715
5,9.609200000000001,-50.071799999999996,083F2716
6,31.60003,-51.078199999999995,083F271B
7,19.60003,-49.078199999999995,083F271C
8,21.60003,-49.078199999999995,083F271D
9,33.600030000000004,-68.0782,083F271E
10,30.60003,-46.078199999999995,083F271F
11,21.60003,-58.078199999999995,083F2720
12,30.68183,-59.119699999999995,07442725
13,32.68183,-68.1197,07442726
14,17.68183,-46.119699999999995,07442727
15,24.68183,-56.119699999999995,07442728
16,21.68183,-67.1197,07442729
17,23.68183,-47.119699999999995,0744272A
18,11.66398,-68.1241,0744272F
19,26.663980000000002,-61.1241,07442730
20,9.66398,-56.1241,07442731
21,18.663980000000002,-60.1241,07442732
22,27.663980000000002,-66.1241,07442733
23,21.663980000000002,-45.1241,07442734
24,15.63921,-66.1364,082B2739
25,15.63921,-64.1364,082B273A
26,16.63921,-58.136399999999995,082B273B
27,6.63921,-51.136399999999995,082B273C
28,17.63921,-53.136399999999995,082B273D
29,26.63921,-67.1364,082B273E
30,29.6215,-52.089299999999994,08532743
31,21.6215,-66.0893,08532744
32,18.6215,-62.089299999999994,08532745
33,34.6215,-48.089299999999994,08532746
34,29.6215,-44.089299999999994,08532747
35,31.6215,-44.089299999999994,08532748
36,5.6456,-72.0922,0854274D
37,8.6456,-65.0922,0854274E
38,22.6456,-53.092200000000005,0854274F
39,11.6456,-46.092200000000005,08542750
40,5.6456,-54.092200000000005,08542751
41,8.6456,-49.092200000000005,08542752
42,34.6037,-48.072500000000005,083F2757
43,28.6037,-47.072500000000005,083F2758
44,26.6037,-58.072500000000005,083F2759
45,16.6037,-62.072500000000005,083F275A
46,6.6037,-52.072500000000005,083F275B
47,17.6037,-59.072500000000005,083F275C
48,6.70854,-53.138999999999996,07442761
49,8.70854,-58.138999999999996,07442762
50,23.70854,-56.138999999999996,07442763
51,30.70854,-70.139,07442764
52,9.70854,-56.138999999999996,07442765
53,6.70854,-65.139,07442766
54,8.5709,-70.0974,0852276B
55,16.5709,-52.09739999999999,0852276C
56,19.5709,-47.09739999999999,0852276D
57,21.5709,-62.09739999999999,0852276E
58,18.5709,-64.0974,0852276F
59,12.5709,-65.0974,08522770
60,34.646950000000004,-62.14490000000001,07442775
61,10.64695,-65.1449,07442776
62,27.64695,-66.1449,07442777
63,7.64695,-48.14490000000001,07442778
64,14.64695,-68.1449,07442779
65,7.64695,-57.14490000000001,0744277A
66,14.598700000000001,-72.1084,0852277F
67,29.5987,-67.1084,08522780
68,9.598700000000001,-61.1084,08522781
69,22.5987,-46.1084,08522782
70,19.5987,-48.1084,08522783
71,8.598700000000001,-52.1084,08522784
72,23.607480000000002,-61.092299999999994,08532789
73,13.60748,-72.0923,0853278A
74,28.607480000000002,-48.092299999999994,0853278B
75,34.60748,-57.092299999999994,0853278C
76,16.607480000000002,-69.0923,0853278D
77,34.60748,-65.0923,0853278E
78,8.63203,-47.119200000000006,082B2793
79,21.63203,-45.119200000000006,082B2794
80,20.63203,-53.119200000000006,082B2795
81,7.63203,-57.119200000000006,082B2796
82,34.63203,-66.1192,082B2797
83,9.63203,-69.1192,082B2798
90,13.692969999999999,-60.1339,074427A7
91,11.692969999999999,-56.1339,074427AA
92,20.59984,-58.181,073027B1
93,29.59984,-60.181,073027B2
94,29.59984,-59.181,073027B3
95,7.59984,-65.181,073027B4
96,22.59984,-73.181,073027B5
97,17.59984,-65.181,073027B6
104,23.6124,-46.1366,073227C5
105,17.6124,-52.1366,073227C6
106,5.6124,-45.1366,073227C7
107,11.612400000000001,-54.1366,073227C8
108,21.6124,-55.1366,073227C9
109,32.6124,-52.1366,073227CA
110,15.618079999999999,-50.12050000000001,085327CF
111,11.618079999999999,-62.12050000000001,085327D0
112,11.618079999999999,-53.12050000000001,085327D1
113,10.618079999999999,-58.12050000000001,085327D2
114,19.61808,-63.12050000000001,085327D3
115,27.61808,-65.1205,085327D4
116,29.6175,-66.0723,083F27D9
117,16.6175,-66.0723,083F27DA
118,23.6175,-48.0723,083F27DB
119,7.6175,-61.0723,083F27DC
120,13.6175,-56.0723,083F27DD
121,15.6175,-59.0723,083F27DE
122,30.6597,-55.104,082B27E3
123,34.6597,-53.104,082B27E4
124,10.6597,-57.104,082B27E5
125,5.6597,-71.104,082B27E6
126,20.6597,-64.104,082B27E7
127,16.6597,-55.104,082B27E8
128,27.62619,-48.1091,085327ED
129,25.62619,-52.1091,085327EE
130,24.62619,-52.1091,085327EF
131,21.62619,-47.1091,085327F0
132,25.62619,-49.1091,085327F1
133,28.62619,-53.1091,085327F2
134,19.69517,-49.1147,074427F7
135,11.695170000000001,-58.1147,074427F8
136,34.69517,-63.1147,074427F9
137,24.69517,-69.1147,074427FA
138,15.695170000000001,-45.1147,074427FB
139,24.69517,-64.1147,074427FC
140,19.61504,-69.0779,08532801
141,30.61504,-68.0779,08532802
142,15.61504,-70.0779,08532803
143,18.61504,-70.0779,08532804
144,24.61504,-64.0779,08532805
151,24.56084,-44.1327,07322815
152,22.56084,-60.1327,07322816
153,20.56084,-51.1327,07322817
154,32.56084,-55.1327,07322818
155,22.56084,-66.1327,0732281A
156,18.67996,-46.1435,0744281F
157,26.67996,-56.1435,07442820
158,29.67996,-67.1435,07442821
159,23.67996,-51.1435,07442822
160,26.67996,-45.1435,07442823
161,14.67996,-71.1435,07442824
162,30.59771,-58.16160000000001,07302829
163,21.59771,-70.1616,0730282A
164,19.59771,-67.1616,0730282B
165,16.59771,-55.16160000000001,0730282C
166,10.59771,-50.16160000000001,0730282D
167,13.59771,-52.16160000000001,0730282E
175,20.60344,-64.0683,083F283D
176,10.603439999999999,-50.068299999999994,083F283E
177,6.60344,-54.068299999999994,083F2840
178,8.603439999999999,-68.0683,083F2841
191,12.65799,-51.110600000000005,082B285B
192,21.657989999999998,-50.110600000000005,082B285C
193,23.657989999999998,-73.1106,082B285D
194,7.65799,-68.1106,082B285E
195,5.65799,-57.110600000000005,082B285F
196,27.657989999999998,-52.110600000000005,082B2860
197,5.62275,-50.07470000000001,08532865
198,16.62275,-68.0747,08532866
199,18.62275,-60.07470000000001,08532867
200,24.62275,-70.0747,08532868
201,25.62275,-58.07470000000001,08532869
202,12.62275,-65.0747,0853286A
203,8.6314,-46.092200000000005,0853286F
204,26.6314,-49.092200000000005,08532870
205,19.6314,-68.0922,08532871
206,17.6314,-45.092200000000005,08532872
207,16.6314,-67.0922,08532873
208,15.6314,-69.0922,08532874
209,25.61495,-68.0696,083F2879
210,27.61495,-72.0696,083F287A
211,26.61495,-73.0696,083F287B
212,25.61495,-57.069599999999994,083F287C
213,31.61495,-46.069599999999994,083F287D
214,23.61495,-50.069599999999994,083F287E
215,24.58827,-54.1358,07322883
216,10.58827,-70.1358,07322884
217,8.58827,-57.1358,07322885
218,14.58827,-52.1358,07322886
219,12.58827,-61.1358,07322887
220,20.58827,-67.1358,07322888
221,24.5941,-73.0774,083F288D
222,32.5941,-55.0774,083F288E
223,16.5941,-65.0774,083F288F
224,26.5941,-47.0774,083F2890
225,29.5941,-69.0774,083F2891
226,19.5941,-62.0774,083F2892
227,26.6003,-67.0722,083F2897
228,32.6003,-68.0722,083F2898
229,6.6003,-49.072199999999995,083F2899
230,6.6003,-47.072199999999995,083F289A
231,15.6003,-44.072199999999995,083F289B
232,17.6003,-44.072199999999995,083F289C
246,32.623689999999996,-69.1542,074428B5
247,8.62369,-56.1542,074428B6
248,11.62369,-55.1542,074428B7
249,18.62369,-59.1542,074428B8
